time,mtgox,campbx,bitce,
1,127.57,129.52,119.2,
2,127.57,129.52,119.2,
3,127.57,129.52,119.2,
4,127.57,129.52,119.2,
5,127.57,129.52,119.2,
6,127.57,129.52,119.2,
7,127.57,129.52,119.2,
8,127.50025,129.52,119.2,
9,127.50025,129.52,119.2,
10,127.50025,129.52,119.2,
11,127.50025,129.52,119.2,
12,127.50025,129.52,119.2,
13,127.50025,129.52,119.2,
14,127.50025,129.52,119.2,
15,127.50025,129.52,119.2,
16,127.57,129.52,119.2,
17,127.57,129.52,119.2,
18,127.57,129.52,119.2,
19,127.57,129.52,119.2,
20,127.50025,129.52,119.2,
21,127.50025,129.52,119.31,
22,127.50025,129.52,119.31,
23,127.50025,129.52,119.31,
24,127.50025,129.52,119.31,
25,127.50025,129.52,119.31,
26,127.50025,129.52,119.4,
27,127.50025,129.52,119.2,
28,127.50025,129.52,119.2,
29,127.50025,129.52,119.2,
30,127.50025,129.52,119.2,
31,127.50024,129.52,119.2,
32,127.50024,129.52,119.2,
33,127.50024,129.52,119.2,
34,127.50024,129.52,119.2,
35,127.50025,129.52,119.2,
36,127.50025,129.52,119.11,
37,127.50025,129.52,119.11,
38,127.50025,129.52,119.11,
39,127.979,129.52,119.11,
40,127.979,129.52,119.11,
41,127.979,129.52,119.11,
42,127.979,129.52,119.11,
43,127.979,129.52,119.11,
44,127.979,129.52,119.11,
45,127.979,129.52,119.11,
46,127.979,129.52,119.11,
47,127.979,129.52,119.11,
48,127.979,129.52,119.11,
49,127.979,129.52,119.11,
50,127.979,129.52,119.11,
51,127.86189,129.52,119.11,
52,127.86189,129.52,119.11,
53,127.86189,129.52,119.11,
54,127.86189,129.52,119.11,
55,127.86189,129.52,119.4,
56,127.86189,129.52,119.4,
57,127.86189,129.52,119.4,
58,127.86189,129.52,119.4,
59,127.51,129.52,119.2,
60,127.51,129.52,119.2,
61,127.51,129.52,119.2,
62,127.51,129.52,119.2,
63,127.51,129.52,119.2,
64,127.51,129.52,119.2,
65,127.51,129.52,119.2,
66,127.51,129.52,119.0,
67,127.51001,129.52,119.2,
68,127.51001,129.52,119.2,
69,127.51001,129.52,119.2,
